사업장명,DONG_CD,MCT_CAT_CD,x,y
블링블링 노래연습장,창천동,유흥/오락,126.93777874342632,37.55587762511541
어메이징파크,창천동,유흥/오락,126.93947611743371,37.55602771602986
솜씨없는사람들,창천동,유흥/오락,126.93927000750062,37.556064269537444
어썸 코인노래연습장 신촌1호점,창천동,유흥/오락,126.93927000750062,37.556064269537444
뉴소리새노래연습장,창천동,유흥/오락,126.93909058503633,37.55606455998133
VRIGHT 신촌점,창천동,유흥/오락,126.93890100224371,37.5561201419387
독수리 PC,창천동,유흥/오락,126.93890100224371,37.5561201419387
오시리스 당구장,창천동,유흥/오락,126.93890100224371,37.5561201419387
아이비스 pc방 신촌점,창천동,유흥/오락,126.93890100224371,37.5561201419387
삼보넷타운 신촌점,창천동,유흥/오락,126.93763426898865,37.55614851858153
4U노래방,창천동,유흥/오락,126.93777101892464,37.5563202007119
아이브이알,창천동,유흥/오락,126.93871833497916,37.55648387307145
씽씽노래연습장,창천동,유흥/오락,126.93567592131369,37.55606507394084
독수리,창천동,유흥/오락,126.93589543020579,37.55607049040659
K ZONE 노래연습장,창천동,유흥/오락,126.93550510554564,37.556260726710256
와드코인노래연습장,창천동,유흥/오락,126.93576189151838,37.55626743893053
보보스 PC존,창천동,유흥/오락,126.93576189151838,37.55626743893053
티온 PC방 서문점,창천동,유흥/오락,126.9320389661613,37.56231693958693
제우스 PC방,창천동,유흥/오락,126.93635841298321,37.55552805322025
독거미 포켓클럽,창천동,유흥/오락,126.9368765630977,37.55562661654534
칼라비디오극장,창천동,유흥/오락,126.9362943434885,37.555640100666515
이글스 PC,창천동,유흥/오락,126.9362943434885,37.555640100666515
리코스타 코인노래연습장 연대점,창천동,유흥/오락,126.93584002498851,37.555640584038
테크노노래방,창천동,유흥/오락,126.93540800757467,37.55564184680539
뱅크PC방,창천동,유흥/오락,126.93657758650644,37.555723658656326
팡팡투노래방,창천동,유흥/오락,126.93497486599969,37.55583029355329
또 VMG,창천동,유흥/오락,126.93589882199437,37.555954951864734
질러,창천동,유흥/오락,126.93534710751413,37.55596715672027
엑스노래연습장,창천동,유흥/오락,126.93514813173562,37.55601926681947
별방 노래연습장 신촌1호점,창천동,유흥/오락,126.93514813173562,37.55601926681947
상아탑당구장,창천동,유흥/오락,126.93514813173562,37.55601926681947
강산해,창천동,유흥/오락,126.93433967761273,37.55604547634502
독수리 당구클럽,창천동,유흥/오락,126.93659283388108,37.55604832667522
V PC방,창천동,유흥/오락,126.93659283388108,37.55604832667522
로하피씨방,창천동,유흥/오락,126.93659283388108,37.55604832667522
캠프VR신촌,창천동,유흥/오락,126.93659283388108,37.55604832667522
신촌 당구장,창천동,유흥/오락,126.93713069589981,37.555314326198165
아이센스 PC방,창천동,유흥/오락,126.93730787034221,37.55545070985664
락휴 코인 노래연습장 명물거리점,창천동,유흥/오락,126.9381280421798,37.555566576770104
와라 코인 노래연습장,창천동,유흥/오락,126.9374301329032,37.55565113479925
프리미엄 PC방,창천동,유흥/오락,126.93765278993854,37.55576562102458
가이아노래연습장,창천동,유흥/오락,126.93690477241279,37.55512512591895
아이존 팝,창천동,유흥/오락,126.93690477241279,37.55512512591895
가이아 당구장,창천동,유흥/오락,126.93690477241279,37.55512512591895
